State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Shimla,"SMY Rohroo",Grapes,Annabesahai,"Grade B",05/03/2026,13000,14000,13500
"Himachal Pradesh",Shimla,"SMY Rohroo",Kinnow,Kinnow,"Grade B",05/03/2026,5000,5500,5250
"Himachal Pradesh",Shimla,"SMY Rohroo",Carrot,Carrot,"Grade A",05/03/2026,1800,2200,2000
"Himachal Pradesh",Shimla,"SMY Rohroo",Onion,"1st Sort","Grade A",05/03/2026,2000,2300,2150
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Coriander(Leaves),"I Sort",Local,05/03/2026,5500,6500,6000
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Tomato,Deshi,Local,05/03/2026,1200,1500,1350
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Amaranthus,Amaranthus,Local,05/03/2026,3000,3500,3250
"Tamil Nadu",Namakkal,"Tiruchengode APMC","Banana - Green","Banana - Green",Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Cabbage,Cabbage,Local,05/03/2026,1800,2000,1900
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Snakeguard,Snakeguard,Local,05/03/2026,4000,4500,4250
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Beetroot,Beetroot,Local,05/03/2026,4000,5000,4500
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Raddish,Raddish,Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,05/03/2026,6000,7000,6500
"Tamil Nadu",Namakkal,"Tiruchengode APMC","Onion Green","Onion Green",Local,05/03/2026,2500,3000,2750
Telangana,Mahbubnagar,"Sathupally APMC",Paddy(Common),Common,Non-FAQ,05/03/2026,2300,2369,2350
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai) APMC","Bitter gourd","Bitter Gourd",Local,05/03/2026,5000,5600,5300
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai) APMC",Amaranthus,Amaranthus,Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai) APMC",Ginger(Green),"Green Ginger",Local,05/03/2026,7500,8000,7750
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Pineapple,"Pine Apple",Local,05/03/2026,6500,7000,6750
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Grapes,Annabesahai,Local,05/03/2026,9000,19000,14000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Green Peas","Green Peas",Local,05/03/2026,5400,5800,5600
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Papaya,Papaya,Local,05/03/2026,3200,3600,3400
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Water Melon","Water Melon",Local,05/03/2026,2400,2600,2500
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Bottle gourd","Bottle Gourd",Local,05/03/2026,2000,2200,2100
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Cowpea(Veg),"Cowpea (Veg)",Local,05/03/2026,2200,2600,2400
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,05/03/2026,3400,3600,3500
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Beans,"Beans (Whole)",Local,05/03/2026,6000,6800,6400
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Drumstick,Drumstick,Local,05/03/2026,5000,5500,5250
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Jack Fruit(Ripe)","Jack Fruit",Local,05/03/2026,4500,5000,4750
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Guava,"Guava Allahabad",Local,05/03/2026,4500,5500,5000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,05/03/2026,2400,2700,2550
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Indian Beans(Seam)","Indian Beans (Seam)",Local,05/03/2026,6000,6500,6250
